Id,BusinessName,RealCategory,Category,Address,City,State,PostalCode,Country,Phone,Email,Website,Latitude,Longitude,MapsLink,DetailsLink
"ChIJl1KyQNiPaUARXIN8r7Grfsc","Kars Anident Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","Kardeşler Yapı, Şehitler, 119 Sokak No:4 İç Kapı:1, 36000 Kars Merkez/Kars, Türkiye","","Kars","36000","Türkiye","0507 520 95 00","","https://maps.google.com/?cid=14375115840254935900","40.5918035","43.0881431","https://www.google.com/maps/place/?q=place_id:ChIJl1KyQNiPaUARXIN8r7Grfsc",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJK6v-YlBsY0ARxNduMTq2EZU","Özel Giresun Ağiz Ve Diş Sağliği Polikliniği","Dentist","Dentist","fatih caddesi, şemsettin, turgutalp sokak no:2, 28100 Giresun Merkez/Giresun, Türkiye","","Giresun","28100","Türkiye","(0454) 202 55 55","","https://maps.google.com/?cid=10741566947309049796","40.9159833","38.3831329","https://www.google.com/maps/place/?q=place_id:ChIJK6v-YlBsY0ARxNduMTq2EZU",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJHfXESvKHDEARZ-f03l90lSs","Özel VeraDent Ağız ve Diş Sağlığı Kliniği","Dentist","Dentist","Bahçelievler, Abdullah Bağış Cd. No17/D, 56100 Siirt Merkez/Siirt, Türkiye","","Siirt","56100","Türkiye","(0484) 224 88 44","","https://maps.google.com/?cid=3140544270272096103","37.9358153","41.9332993","https://www.google.com/maps/place/?q=place_id:ChIJHfXESvKHDEARZ-f03l90lSs",""
"ChIJv68_TecvxBQR3PkxfQTQSeA","Ozel Burdur Agiz ve Dis Poliklinigi","Dentist","Dentist","Yeni, Işıldak Sk. No:1, 15100 Burdur Merkez/Burdur, Türkiye","","Burdur","15100","Türkiye","0549 233 81 99","","https://maps.google.com/?cid=16161677455494609372","37.7219468","30.2905994","https://www.google.com/maps/place/?q=place_id:ChIJv68_TecvxBQR3PkxfQTQSeA",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJX71OXQCHb0AR5zGH5c92As0","ARDENT BAYBURT","Dentist","Dentist","Zahit, 69000 Bayburt Merkez/Bayburt, Türkiye","","Bayburt","69000","Türkiye","(0458) 211 42 69","","https://maps.google.com/?cid=14772500363009798631","40.2498038","40.2331941","https://www.google.com/maps/place/?q=place_id:ChIJX71OXQCHb0AR5zGH5c92As0",""
"ChIJGeuehD71tBQRoUHE7IKvlWw","Dent Aesthetic Turkey","Dentist","Dentist","Ozan Plaza, Cumhuriyet Mh, Büşra Sk. No: 18-20, 59100 Süleymanpaşa/Tekirdağ, Türkiye","","Tekirdağ","59100","Türkiye","(0282) 264 16 76","","http://dentaestheticturkey.com/","40.9824437","27.5688275","https://www.google.com/maps/place/?q=place_id:ChIJGeuehD71tBQRoUHE7IKvlWw",""
"ChIJlWS6EfPdLRUR38SEyk8V1ZM","HK dent Polikliniği","Dentist","Dentist","Haydar Bey, 32034 Sk Sultan sitesi altı no:15/a, 46050 Onikişubat/Kahramanmaraş, Türkiye","","Kahramanmaraş","46050","Türkiye","0534 202 87 77","","https://maps.google.com/?cid=10652443926059074783","37.58375729999999","36.8711435","https://www.google.com/maps/place/?q=place_id:ChIJlWS6EfPdLRUR38SEyk8V1ZM",""
"ChIJDVY2BDoEYUgRQzD7u-XGhGk","Affinity Dental Care, Lisburn, Northern Ireland","Dentist","Dentist","112 Moss Rd, Lambeg, Lisburn BT27 4NU, UK","Lambeg","Northern Ireland","BT27 4NU","United Kingdom","028 9266 5588","","http://www.affinitydental.co.uk/","54.53086709999999","-6.0365991","https://www.google.com/maps/place/?q=place_id:ChIJDVY2BDoEYUgRQzD7u-XGhGk",""
"ChIJAQAAE8qICkARLaZu8ABNTjQ","47 DENT AĞIZ VE DİŞ SAĞLIĞI POLİKLİNİĞİ","Dentist","Dentist","Yenişehir, 47200 Mardin Merkez/Mardin, Türkiye","","Mardin","47200","Türkiye","0553 023 17 84","","https://maps.google.com/?cid=3769034604584805933","37.3195573","40.7243298","https://www.google.com/maps/place/?q=place_id:ChIJAQAAE8qICkARLaZu8ABNTjQ",""
"ChIJDy6Lzg3zJxURcgXvJgjCEPA","Mersin Specialty Dental Clinic","Dentist","Dentist","Kiremithane Mh. Silifke Cd. Tanrıöver Apt. Altı 54/A, Kiremithane, 33000 Akdeniz/Mersin, Türkiye","","Mersin","33000","Türkiye","0530 326 00 33","","https://maps.google.com/?cid=17298539508998800754","36.7943478","34.62406259999999","https://www.google.com/maps/place/?q=place_id:ChIJDy6Lzg3zJxURcgXvJgjCEPA",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJ02zc6Jg_nUARmUp4cjcXdOc","DentBolu Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","3, Kılıçarslan, İzzet Baysal Devlet Hst. Blv. Gazi Konutları No 35A, 14100 Bolu Merkez/Bolu, Türkiye","","Bolu","14100","Türkiye","(0374) 215 80 80","","http://dentbolu.com/","40.73894860000001","31.5812084","https://www.google.com/maps/place/?q=place_id:ChIJ02zc6Jg_nUARmUp4cjcXdOc",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJLxJwyCE_xxQRu7v_3hMyh3E","Dental residence Dental Clinics","Dentist","Dentist","Kınıklı, Fakülte Cd. No:20/A, 20160 Pamukkale/Denizli, Türkiye","","Denizli","20160","Türkiye","(0258) 211 67 67","","http://www.dentalrezidans.com/","37.7477923","29.0888771","https://www.google.com/maps/place/?q=place_id:ChIJLxJwyCE_xxQRu7v_3hMyh3E",""
"ChIJ6djaAXUBD0ARt0yCJ6oDbuY","Diş Hekimi","Dentist","Dentist","Bulvar caddesi Kaya plaza karşısı kurt apartmanı kat 1 no.1 Hakkari/ Merkez, Bulak, 30000 Hakkâri Merkez/Hakkari, Türkiye","","Hakkari","30000","Türkiye","0544 544 67 39","","https://maps.google.com/?cid=16604212905503771831","37.5783231","43.7356465","https://www.google.com/maps/place/?q=place_id:ChIJ6djaAXUBD0ARt0yCJ6oDbuY",""
"ChIJrzOaU6pP0xQRdTFPLhRJ-kI","Dental Estetik Center","Dentist","Dentist","Oran Mahallesi Kudüs Caddesi, Oran, Park Oran Evleri Ofis 1/21 Kat:16 Daire No:54, 06450 Çankaya/Ankara, Türkiye","","Ankara","06450","Türkiye","(0312) 419 43 56","","http://www.dentalestetikcenter.com/","39.8482513","32.8349418","https://www.google.com/maps/place/?q=place_id:ChIJrzOaU6pP0xQRdTFPLhRJ-kI",""
"ChIJvXPTI_4lDUARLP4Plre6siM","Özgül Dent Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","Hüsrev Paşa, Selahattin Eyyübi Cd. No:107, 13000 Bitlis Merkez/Bitlis, Türkiye","","Bitlis","13000","Türkiye","0530 326 95 15","","https://bitlisincidisklinigi.com/","38.4338415","42.1380436","https://www.google.com/maps/place/?q=place_id:ChIJvXPTI_4lDUARLP4Plre6siM",""
"ChIJs2ld_RiN2RQRpN7VermeW3M","Karaman Ortodonti Uzmanı Fatma NAZİK ÜNVER","Dentist","Dentist","Külhan Mah, 2.İstasyon Cad, Cevher İş Merkezi, Külhan, Kat : 1, 70100 Karaman Merkez/Karaman, Türkiye","","Karaman","70100","Türkiye","0537 300 37 70","","https://maps.google.com/?cid=8312412056709357220","37.1846178","33.2144997","https://www.google.com/maps/place/?q=place_id:ChIJs2ld_RiN2RQRpN7VermeW3M",""
"ChIJsd4lccSPaUARzCL-3jbOQwA","kars dent ağız ve diş sağlığı polikliniği","Dentist","Dentist","Duru Apartment Building, Ortakapı, İbrahim Gökçe Sk. 25-1, 36000 Kars Merkez/Kars, Türkiye","","Kars","36000","Türkiye","(0474) 212 87 74","","https://maps.google.com/?cid=19085558504366796","40.6058409","43.095467","https://www.google.com/maps/place/?q=place_id:ChIJsd4lccSPaUARzCL-3jbOQwA",""
"ChIJxweutA4LxkcRJ0Wp77tXmXY","Dental Clinics Diemen","Dentist","Dentist","Willem Dudokhof 1, 1112 ZA Diemen, Netherlands","Diemen","Noord-Holland","1112 ZA","Netherlands","020 790 0041","diemen@dentalclinics.nl","https://www.dentalclinics.nl/tandarts/diemen/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button","52.3298483","4.9591708","https://www.google.com/maps/place/?q=place_id:ChIJxweutA4LxkcRJ0Wp77tXmXY",""
"ChIJ4X_o2PezzBQRcZJpvdzffII","Dentgroup Sakarya - Serdivan","Dentist","Dentist","Arabacıalanı, Mehmet Akif Ersoy Cd. 3-A No:6, 54050 Serdivan/Sakarya, Türkiye","","Sakarya","54050","Türkiye","(0264) 211 12 10","","https://maps.google.com/?cid=9402636261206364785","40.7727152","30.3638209","https://www.google.com/maps/place/?q=place_id:ChIJ4X_o2PezzBQRcZJpvdzffII",""
"ChIJM-RWfT7hMRURMGOh5XQfXNc","Dental Dentavizyo","Dentist","Dentist","Kavaklık, Ordu Cd. No:20, 27070 Şahinbey/Gaziantep, Türkiye","","Gaziantep","27070","Türkiye","(0342) 232 46 46","","http://www.dentavizyon.com.tr/","37.0606343","37.3630569","https://www.google.com/maps/place/?q=place_id:ChIJM-RWfT7hMRURMGOh5XQfXNc",""
"ChIJhXIsWphwgEARG7_2kx0YRro","AÇIKGÖZ DİŞ POLİKLİNİĞİ YOZGAT","Dentist","Dentist","Aşağı Nohutlu mah lise caddesi Necip Alakoc iş Merkezi no 5 kat 2 daire no 8, Aşağınohutlu, 66100 Yozgat Merkez/Yozgat, Türkiye","","Yozgat","66100","Türkiye","(0354) 333 41 11","","http://www.yozgatdis.com/","39.8226589","34.8094651","https://www.google.com/maps/place/?q=place_id:ChIJhXIsWphwgEARG7_2kx0YRro",""
"ChIJP7vDuKOHDEAR4d26viPQxpA","ÖZEL CEZLAN AĞIZ VE DİŞ SAĞLIĞI POLİKLİNİĞİ","Dentist","Dentist","Bahçelievler, Ali Çelik Cd. OLCAY APT B BLOK KAT 1, 56100 Siirt Merkez/Siirt, Türkiye","","Siirt","56100","Türkiye","","","https://maps.google.com/?cid=10432254438792682977","37.9285585","41.9414289","https://www.google.com/maps/place/?q=place_id:ChIJP7vDuKOHDEAR4d26viPQxpA",""
"ChIJOT0bY4UtxBQR4H7yNnP9Ygo","Diş Hekimi Can Esen","Dentist","Dentist","Yeni, Şht. Ersan Cd. No:12, 15030 Burdur Merkez/Burdur, Türkiye","","Burdur","15030","Türkiye","0505 497 56 10","","https://maps.google.com/?cid=748439159381851872","37.7226439","30.2914237","https://www.google.com/maps/place/?q=place_id:ChIJOT0bY4UtxBQR4H7yNnP9Ygo",""
"ChIJJz0_5u2JCkARHJ9TwR__cU4","Alfadent Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","Yenişehir Mah. SSK Cad Meriç Apt. No:4 İç Kapı No: 22, Yenişehir, 47200 Artuklu/Mardin, Türkiye","","Mardin","47200","Türkiye","(0482) 503 05 55","","https://maps.google.com/?cid=5652579519179235100","37.3199865","40.7243032","https://www.google.com/maps/place/?q=place_id:ChIJJz0_5u2JCkARHJ9TwR__cU4",""
"ChIJm_NryWF9nEARioOMIRWp3vM","Dt. Özlem Yavuzyılmaz Sökmen","Dentist","Dentist","Mithatpaşa, Uzun Mehmet Cd. Mercimek İş Hanı No:41/3, 67100 Zonguldak Merkez/Zonguldak, Türkiye","","Zonguldak","67100","Türkiye","0530 342 67 00","","https://maps.google.com/?cid=17572668704268518282","41.452694","31.7892287","https://www.google.com/maps/place/?q=place_id:ChIJm_NryWF9nEARioOMIRWp3vM",""
"ChIJR3jvZYUfdUARqyOfGlTY65s","İlker Cemal Kavasoğlu Diş Kliniği / Dental İN Ağız Ve Diş Sağlığı Polikliniği / Dentalin","Dentist","Dentist","Fırat Mahallesi, Mahabad Bulvarı, 499.Sokak, Tuana City C3 Blok Altı 53, Fırat, D:2b, 21070 Kayapınar/Diyarbakır, Türkiye","","Diyarbakır","21070","Türkiye","(0412) 235 64 54","","http://www.ilkercemalkavasoglu.com/","37.93148619999999","40.1536437","https://www.google.com/maps/place/?q=place_id:ChIJR3jvZYUfdUARqyOfGlTY65s",""
"ChIJhUXcPXbdLRURxhllQRqK_GY","Platinum Dent Clinic","Dentist","Dentist","İsa Divanlı, Sarayaltı Cd. no:35/A, 46100 Dulkadiroğlu/Kahramanmaraş, Türkiye","","Kahramanmaraş","46100","Türkiye","0554 144 05 43","","https://maps.google.com/?cid=7420958131370662342","37.5798736","36.9323598","https://www.google.com/maps/place/?q=place_id:ChIJhUXcPXbdLRURxhllQRqK_GY",""
"ChIJjzIP9H9FyxQRXZONnRmYEew","Dental Art plus Ağız ve Diş Sağlığı Polikliniği İzmit Kocaeli","Dentist","Dentist","Körfez Mahallesi, Yüce Rıfat Sok. No:52, (Real Yolu, Yahya Kaptan Yönü, Turkcell Süperonline Yanı), Körfez, 41300 İzmit/Kocaeli, Türkiye","","Kocaeli","41300","Türkiye","(0262) 324 24 04","","http://www.dentalartplus.com.tr/","40.7637905","29.9519713","https://www.google.com/maps/place/?q=place_id:ChIJjzIP9H9FyxQRXZONnRmYEew",""
"ChIJ4yJH3q0BD0ARk-BO2UYlVGk","ÖZEL SANTEDENT AĞIZ VE DİŞ SAĞLIĞI POLİKLİNİĞİ","Dentist","Dentist","Pehlivan, Çölemerk Cd. No:67, 30000 Hakkâri Merkez/Hakkari, Türkiye","","Hakkari","30000","Türkiye","","","https://maps.google.com/?cid=7589732258249891987","37.5739509","43.731914","https://www.google.com/maps/place/?q=place_id:ChIJ4yJH3q0BD0ARk-BO2UYlVGk",""
"ChIJLcU03xG3yhQRSu2pKeu6mT0","Istanbul Dental Center","Dentist","Dentist","Rumeli Caddesi No:71 4th Floor, Halaskargazi, 34371 Şişli/İstanbul, Türkiye","","İstanbul","34371","Türkiye","(0212) 246 02 38","","http://www.istanbuldentalcenter.com/","41.0535405","28.9876481","https://www.google.com/maps/place/?q=place_id:ChIJLcU03xG3yhQRSu2pKeu6mT0",""
"ChIJFevqj1CLtBQR5WkydSPnluY","Gönül dental","Dentist","Dentist","Ertuğrul, İhsaniye Sk. yüksel apartmanı kat 2 , no:4, 59100 Süleymanpaşa/Tekirdağ, Türkiye","","Tekirdağ","59100","Türkiye","0543 598 70 88","","https://maps.google.com/?cid=16615722014706133477","40.9778006","27.5126295","https://www.google.com/maps/place/?q=place_id:ChIJFevqj1CLtBQR5WkydSPnluY",""
"ChIJvw6Fj4E_xxQR-g1qYIykA1s","Denizli Dental Rezidans Bayramyeri Şubesi Ağız ve Diş Sağlığı Merkezi","Dentist","Dentist","Sırakapılar, Hastane Cd. No:27, 20010 Denizli Merkezefendi/Denizli, Türkiye","","Denizli","20010","Türkiye","(0258) 241 82 88","","http://www.dentalrezidans.com/","37.7821349","29.0824929","https://www.google.com/maps/place/?q=place_id:ChIJvw6Fj4E_xxQR-g1qYIykA1s",""
"ChIJ-9Ldy9EvsxQRqJgM6OCdtE8","Tunalı Dental Akademi Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","Talatpaşa Asfaltı RYS Hotel Suite Home Residence Kat:1, 1. Murat, 22100 Edirne Merkez/Edirne, Türkiye","","Edirne","22100","Türkiye","(0284) 214 00 90","","http://www.tunalidentalakademi.com/","41.6658751","26.5748041","https://www.google.com/maps/place/?q=place_id:ChIJ-9Ldy9EvsxQRqJgM6OCdtE8",""
"ChIJmfAdVuf7hEAR92iastkkfbA","Estetik Dent Kastamonu","Dentist","Dentist","Kuzeykent, Cankat Sokak No:6, 37150 Kastamonu Merkez/Kastamonu, Türkiye","","Kastamonu","37150","Türkiye","(0366) 212 25 25","","http://www.estetikdentkastamonu.com/","41.4183531","33.7909571","https://www.google.com/maps/place/?q=place_id:ChIJmfAdVuf7hEAR92iastkkfbA",""
"ChIJGzAxo3mLJxURFZLot558RME","Özel M Dental Diş Polikliniği","Dentist","Dentist","Eğriçam, 14. Cd. No:537, 33160 Yenişehir/Mersin, Türkiye","","Mersin","33160","Türkiye","(0324) 341 31 31","","http://www.mdental.com.tr/","36.7699957","34.5618435","https://www.google.com/maps/place/?q=place_id:ChIJGzAxo3mLJxURFZLot558RME",""
"ChIJhzeZo2k_nUARsctg1zsF5Lo","diSmile Ağız ve Diş Sağlığı Polikliniği Bolu","Dentist","Dentist","Karaçayır, Ulus Sk. Kale Apt No:11/10, 14100 Bolu Merkez/Bolu, Türkiye","","Bolu","14100","Türkiye","0532 401 38 77","","https://www.instagram.com/_dismile?igsh=MXZ4aXE1ZGE3cHZqaw==","40.7295","31.606443","https://www.google.com/maps/place/?q=place_id:ChIJhzeZo2k_nUARsctg1zsF5Lo",""
"ChIJT4A8CjSHDEARBjCEWuF476U","SİİRT DENTAL DİŞ KLİNİĞİ","Dentist","Dentist","Yeni, 1573. Sk. No:11/6, 56100 Siirt Merkez/Siirt, Türkiye","","Siirt","56100","Türkiye","0553 879 52 18","","https://maps.google.com/?cid=11956908444973543430","37.93868760000001","41.9423684","https://www.google.com/maps/place/?q=place_id:ChIJT4A8CjSHDEARBjCEWuF476U",""
"ChIJL7LWbPOcuRQRy8HvYCdKu9I","COSMETIC DENTAL - Polikinlig of Oral and Dental Health","Dentist","Dentist","Merkez Manisa TR, Laleli, 5205. Sk. No:19/A, 45000 Yunusemre/Manisa, Türkiye","","Manisa","45000","Türkiye","(0236) 234 34 44","info@dentalestheticclinic.com","https://dentalestheticclinic.com/","38.6161469","27.401367","https://www.google.com/maps/place/?q=place_id:ChIJL7LWbPOcuRQRy8HvYCdKu9I",""
"ChIJH0nk1L8NcEARsKuwnEkJPCU","Dental 24 Ağız ve Diş Sağlığı Polikliniği","Dentist","Dentist","Atatürk, Muhsin Yazıcıoğlu Cd. No:16/A, 24100 Erzincan Merkez/Erzincan, Türkiye","","Erzincan","24100","Türkiye","(0446) 224 11 10","","https://www.dental24.com.tr/","39.7489904","39.4925091","https://www.google.com/maps/place/?q=place_id:ChIJH0nk1L8NcEARsKuwnEkJPCU",""
"ChIJs-Oo2tB9nEARMzyzBlBgY3E","Maydent Ağız ve Diş Sağlığı Polikliniği Zonguldak","Dentist","Dentist","Bahçelievler, Işık Yönder Cd. No:21, 67980 Zonguldak Merkez/Zonguldak, Türkiye","","Zonguldak","67980","Türkiye","0545 252 67 67","","https://maps.google.com/?cid=8170480045806271539","41.450482","31.773834","https://www.google.com/maps/place/?q=place_id:ChIJs-Oo2tB9nEARMzyzBlBgY3E",""
"ChIJj6JzJ7AtxBQRt8rNAqVHW98","Özel Lavanta Ağız Ve Diş Sağlığı Polikliniği","Dentist","Dentist","Burç, Namık Kemal Cd. no:17/A, 15200 Burdur Merkez/Burdur, Türkiye","","Burdur","15200","Türkiye","0555 195 62 00","","https://maps.google.com/?cid=16094536467380816567","37.7189288","30.2800078","https://www.google.com/maps/place/?q=place_id:ChIJj6JzJ7AtxBQRt8rNAqVHW98",""
"ChIJaxUJ-TIJxkcRM4Jow9L9IG4","Dentista","Dentist","Dentist","Ceintuurbaan 308-310, 1072 GL Amsterdam, Netherlands","Amsterdam","Noord-Holland","1072 GL","Netherlands","020 218 4386","","https://www.dentista.nl/","52.3528356","4.8926702","https://www.google.com/maps/place/?q=place_id:ChIJaxUJ-TIJxkcRM4Jow9L9IG4",""
"ChIJ66iHaIxfbkARNxf9WmSl2aY","Özel DENT Erzurum Ağız Ve Diş Sağlığı Polikliniği","Dentist","Dentist","Yunus Emre Mah, Atatürk Blv. No:13, 25100 Palandöken/Erzurum, Türkiye","","Erzurum","25100","Türkiye","(0442) 317 10 49","","https://www.erzurumdis.com/","39.8955766","41.2723879","https://www.google.com/maps/place/?q=place_id:ChIJ66iHaIxfbkARNxf9WmSl2aY",""
"ChIJ-dMJKOwfdUARZAhkNJNFAJ0","DU’DENT Clinic","Dentist","Dentist","Mevlana Halit, Aydın Arslan Blv 457. Sokak, 21000 Bağlar/Diyarbakır, Türkiye","","Diyarbakır","21000","Türkiye","0530 941 24 27","","http://www.dudentclinic.com/","37.9266516","40.2029011","https://www.google.com/maps/place/?q=place_id:ChIJ-dMJKOwfdUARZAhkNJNFAJ0",""
